Module,statements,missing,excluded,branches,partial,coverage
scipy/interpolate/_ndgriddata.py,46,3,0,20,3,91%
scipy/interpolate/_pade.py,26,3,0,12,3,84%
scipy/interpolate/_polyint.py,203,11,0,72,8,92%
scipy/interpolate/_rbf.py,97,11,0,48,9,83%
scipy/interpolate/_rbfinterp.py,121,2,0,56,4,97%
scipy/interpolate/_rbfinterp_pythran.py,85,85,0,22,0,0%
scipy/interpolate/fitpack.py,10,5,0,2,0,42%
scipy/interpolate/fitpack2.py,10,5,0,2,0,42%
scipy/interpolate/interpolate.py,10,5,0,2,0,42%
scipy/interpolate/ndgriddata.py,10,5,0,2,0,42%
scipy/interpolate/polyint.py,10,5,0,2,0,42%
scipy/interpolate/rbf.py,10,5,0,2,0,42%
scipy/interpolate/tests/__init__.py,0,0,0,0,0,100%
scipy/interpolate/tests/test_bsplines.py,939,5,0,182,5,99%
scipy/interpolate/tests/test_fitpack.py,346,17,0,100,13,92%
scipy/interpolate/tests/test_fitpack2.py,785,2,0,196,2,99%
scipy/interpolate/tests/test_gil.py,45,31,0,10,0,29%
scipy/interpolate/tests/test_interpnd.py,204,4,0,34,0,98%
scipy/interpolate/tests/test_interpolate.py,1916,11,0,326,6,99%
scipy/interpolate/tests/test_ndgriddata.py,113,0,0,26,0,100%
scipy/interpolate/tests/test_pade.py,65,0,0,4,0,100%
scipy/interpolate/tests/test_polyint.py,490,0,0,114,0,100%
scipy/interpolate/tests/test_rbf.py,138,0,0,12,0,100%
scipy/interpolate/tests/test_rbfinterp.py,298,2,0,48,1,99%
scipy/interpolate/tests/test_regression.py,11,0,0,2,0,100%
scipy/io/__init__.py,12,0,0,2,0,100%
scipy/io/_fortran.py,78,10,0,50,10,84%
scipy/io/_harwell_boeing/__init__.py,7,0,0,0,0,100%
scipy/io/_harwell_boeing/_fortran_format_parser.py,164,25,0,64,4,83%
scipy/io/_harwell_boeing/hb.py,264,50,0,102,32,75%
scipy/io/_harwell_boeing/tests/__init__.py,0,0,0,0,0,100%
scipy/io/_harwell_boeing/tests/test_fortran_format.py,51,0,0,16,0,100%
scipy/io/_harwell_boeing/tests/test_hb.py,30,0,0,8,0,100%
scipy/io/_idl.py,428,88,0,242,28,77%
scipy/io/_mmio.py,459,86,0,274,26,80%
scipy/io/_netcdf.py,481,20,0,166,19,94%
scipy/io/arff/__init__.py,7,0,0,0,0,100%
scipy/io/arff/_arffread.py,375,88,0,153,17,76%
scipy/io/arff/arffread.py,10,5,0,2,0,42%
scipy/io/arff/tests/__init__.py,0,0,0,0,0,100%
scipy/io/arff/tests/test_arffread.py,204,0,0,48,0,100%
scipy/io/harwell_boeing.py,10,5,0,2,0,42%
scipy/io/idl.py,10,5,0,2,0,42%
scipy/io/matlab/__init__.py,9,0,0,0,0,100%
scipy/io/matlab/_byteordercodes.py,19,1,0,10,1,93%
scipy/io/matlab/_mio.py,64,4,0,30,4,91%
scipy/io/matlab/_mio4.py,280,14,0,96,18,91%
scipy/io/matlab/_mio5.py,399,29,0,148,15,90%
scipy/io/matlab/_mio5_params.py,78,3,0,14,0,97%
scipy/io/matlab/_miobase.py,111,9,0,40,2,93%
scipy/io/matlab/byteordercodes.py,10,5,0,2,0,42%
scipy/io/matlab/mio.py,10,5,0,2,0,42%
scipy/io/matlab/mio4.py,10,5,0,2,0,42%
scipy/io/matlab/mio5.py,10,5,0,2,0,42%
scipy/io/matlab/mio5_params.py,10,2,0,2,1,75%
scipy/io/matlab/mio5_utils.py,10,5,0,2,0,42%
scipy/io/matlab/mio_utils.py,10,5,0,2,0,42%
scipy/io/matlab/miobase.py,10,1,0,2,0,92%
scipy/io/matlab/streams.py,10,5,0,2,0,42%
scipy/io/matlab/tests/__init__.py,0,0,0,0,0,100%
scipy/io/matlab/tests/test_byteordercodes.py,20,2,0,6,1,88%
scipy/io/matlab/tests/test_mio.py,783,11,0,104,5,98%
scipy/io/matlab/tests/test_mio5_utils.py,128,0,0,20,1,99%
scipy/io/matlab/tests/test_mio_funcs.py,37,1,0,6,2,93%
scipy/io/matlab/tests/test_mio_utils.py,29,0,0,2,0,100%
scipy/io/matlab/tests/test_miobase.py,20,0,0,0,0,100%
scipy/io/matlab/tests/test_pathological.py,14,0,0,2,0,100%
scipy/io/matlab/tests/test_streams.py,162,0,0,22,0,100%
scipy/io/mmio.py,10,5,0,2,0,42%
scipy/io/netcdf.py,10,5,0,2,0,42%
scipy/io/tests/__init__.py,0,0,0,0,0,100%
scipy/io/tests/test_fortran.py,166,2,0,70,2,98%
scipy/io/tests/test_idl.py,293,5,0,42,1,98%
scipy/io/tests/test_mmio.py,348,6,0,36,2,98%
scipy/io/tests/test_netcdf.py,346,3,0,124,5,98%
scipy/io/tests/test_paths.py,65,0,0,18,0,100%
scipy/io/tests/test_wavfile.py,214,2,0,78,1,99%
scipy/io/wavfile.py,478,13,0,110,13,96%
scipy/linalg/__init__.py,26,0,0,2,0,100%
scipy/linalg/_basic.py,418,47,0,210,46,85%
scipy/linalg/_cython_signature_generator.py,52,52,0,30,0,0%
scipy/linalg/_decomp.py,385,32,0,200,20,89%
scipy/linalg/_decomp_cholesky.py,71,12,0,32,11,78%
scipy/linalg/_decomp_cossin.py,81,4,0,32,4,93%
scipy/linalg/_decomp_ldl.py,84,2,0,34,2,97%
scipy/linalg/_decomp_lu.py,47,7,0,22,7,80%
scipy/linalg/_decomp_polar.py,15,2,0,6,2,81%
scipy/linalg/_decomp_qr.py,129,8,0,70,8,92%
scipy/linalg/_decomp_qz.py,119,14,0,54,15,83%
scipy/linalg/_decomp_schur.py,102,10,0,66,13,86%
scipy/linalg/_decomp_svd.py,86,7,0,34,5,88%
scipy/linalg/_expm_frechet.py,153,8,0,36,8,92%
scipy/linalg/_flinalg_py.py,29,4,0,12,1,83%
scipy/linalg/_generate_pyx.py,183,183,0,102,0,0%
scipy/linalg/_interpolative_backend.py,285,27,0,46,21,85%
scipy/linalg/_matfuncs.py,138,26,0,46,8,77%
scipy/linalg/_matfuncs_inv_ssq.py,350,30,0,182,20,90%
scipy/linalg/_matfuncs_sqrtm.py,79,4,0,30,4,93%
scipy/linalg/_matfuncs_sqrtm_triu.py,15,15,0,14,0,0%
scipy/linalg/_misc.py,37,2,0,28,2,94%
scipy/linalg/_procrustes.py,17,2,0,6,1,87%
scipy/linalg/_sketches.py,14,0,0,0,0,100%
scipy/linalg/_solvers.py,215,21,0,90,26,85%
scipy/linalg/_special_matrices.py,246,9,0,124,8,95%
scipy/linalg/_testutils.py,39,0,0,22,0,100%
scipy/linalg/basic.py,10,5,0,2,0,42%
scipy/linalg/blas.py,102,7,0,42,4,91%
scipy/linalg/decomp.py,10,5,0,2,0,42%
scipy/linalg/decomp_cholesky.py,10,5,0,2,0,42%
scipy/linalg/decomp_lu.py,10,5,0,2,0,42%
scipy/linalg/decomp_qr.py,10,5,0,2,0,42%
scipy/linalg/decomp_schur.py,10,5,0,2,0,42%
scipy/linalg/decomp_svd.py,10,5,0,2,0,42%
scipy/linalg/flinalg.py,10,5,0,2,0,42%
scipy/linalg/interpolative.py,181,14,0,118,13,91%
scipy/linalg/lapack.py,76,11,0,30,6,78%
scipy/linalg/matfuncs.py,10,5,0,2,0,42%
scipy/linalg/misc.py,10,5,0,2,0,42%
scipy/linalg/special_matrices.py,10,5,0,2,0,42%
scipy/linalg/tests/__init__.py,0,0,0,0,0,100%
scipy/linalg/tests/test_basic.py,1002,38,0,230,1,95%
scipy/linalg/tests/test_blas.py,784,31,0,236,37,93%
scipy/linalg/tests/test_cython_blas.py,73,0,0,4,0,100%
scipy/linalg/tests/test_cython_lapack.py,10,0,0,6,0,100%
scipy/linalg/tests/test_cythonized_array_utils.py,93,0,0,32,0,100%
scipy/linalg/tests/test_decomp.py,1878,54,0,292,6,97%
scipy/linalg/tests/test_decomp_cholesky.py,138,0,0,22,0,100%
scipy/linalg/tests/test_decomp_cossin.py,94,0,0,28,0,100%
scipy/linalg/tests/test_decomp_ldl.py,81,0,0,10,0,100%
scipy/linalg/tests/test_decomp_polar.py,44,0,0,8,0,100%
scipy/linalg/tests/test_decomp_update.py,1267,7,0,280,8,99%
scipy/linalg/tests/test_fblas.py,352,32,0,112,4,88%
scipy/linalg/tests/test_interpolative.py,149,7,0,20,5,93%
scipy/linalg/tests/test_lapack.py,1606,43,0,344,25,96%
scipy/linalg/tests/test_matfuncs.py,525,41,0,134,2,93%
scipy/linalg/tests/test_matmul_toeplitz.py,94,0,0,6,0,100%
scipy/linalg/tests/test_misc.py,3,0,0,0,0,100%
scipy/linalg/tests/test_procrustes.py,120,0,0,18,0,100%
scipy/linalg/tests/test_sketches.py,64,2,0,32,2,96%
scipy/linalg/tests/test_solve_toeplitz.py,80,0,0,14,0,100%
scipy/linalg/tests/test_solvers.py,159,39,0,40,5,73%
scipy/linalg/tests/test_special_matrices.py,334,0,0,90,0,100%
scipy/misc/__init__.py,8,0,0,0,0,100%
scipy/misc/_common.py,72,33,0,40,6,47%
scipy/misc/_doccer.py,27,3,0,0,0,89%
scipy/misc/common.py,10,5,0,2,0,42%
scipy/misc/doccer.py,10,5,0,2,0,42%
scipy/misc/tests/__init__.py,0,0,0,0,0,100%
scipy/misc/tests/test_common.py,12,0,0,0,0,100%
scipy/misc/tests/test_doccer.py,65,3,0,14,0,96%
scipy/ndimage/__init__.py,14,0,0,2,0,100%
scipy/ndimage/_filters.py,462,36,0,220,34,90%
scipy/ndimage/_fourier.py,71,17,0,30,7,64%
scipy/ndimage/_interpolation.py,268,40,0,127,30,82%
scipy/ndimage/_measurements.py,318,33,0,156,24,87%
scipy/ndimage/_morphology.py,413,44,0,234,37,87%
scipy/ndimage/_ni_docstrings.py,19,0,0,0,0,100%
scipy/ndimage/_ni_support.py,51,3,0,36,2,94%
scipy/ndimage/filters.py,10,5,0,2,0,42%
scipy/ndimage/fourier.py,10,5,0,2,0,42%
scipy/ndimage/interpolation.py,10,5,0,2,0,42%
scipy/ndimage/measurements.py,10,5,0,2,0,42%
scipy/ndimage/morphology.py,10,5,0,2,0,42%
scipy/ndimage/tests/__init__.py,7,0,0,0,0,100%
scipy/ndimage/tests/test_c_api.py,52,0,0,16,0,100%
scipy/ndimage/tests/test_datatypes.py,39,0,0,6,0,100%
scipy/ndimage/tests/test_filters.py,1223,0,0,72,2,99%
scipy/ndimage/tests/test_fourier.py,114,0,0,8,0,100%
scipy/ndimage/tests/test_interpolation.py,756,4,0,58,1,99%
scipy/ndimage/tests/test_measurements.py,768,0,0,158,1,99%
scipy/ndimage/tests/test_morphology.py,1011,0,0,26,0,100%
scipy/ndimage/tests/test_splines.py,39,1,0,14,1,96%
scipy/odr/__init__.py,8,0,0,2,0,100%
scipy/odr/_add_newdocs.py,3,0,0,0,0,100%
scipy/odr/_models.py,90,1,0,12,2,97%
scipy/odr/_odrpack.py,353,109,0,214,35,64%
scipy/odr/models.py,10,5,0,2,0,42%
scipy/odr/odrpack.py,10,5,0,2,0,42%
scipy/odr/tests/__init__.py,0,0,0,0,0,100%
scipy/odr/tests/test_odr.py,253,12,0,20,1,95%
scipy/optimize/__init__.py,27,0,0,2,0,100%
scipy/optimize/_basinhopping.py,227,33,0,98,13,85%
scipy/optimize/_cobyla_py.py,84,12,0,36,7,81%
scipy/optimize/_constraints.py,183,13,0,90,7,91%
scipy/optimize/_differentiable_functions.py,364,29,0,112,14,91%
scipy/optimize/_differentialevolution.py,382,9,0,150,12,96%
scipy/optimize/_dual_annealing.py,290,32,0,122,16,85%
scipy/optimize/_group_columns.py,57,57,0,36,0,0%
scipy/optimize/_hessian_update_strategy.py,133,19,0,58,7,83%
scipy/optimize/_highs/__init__.py,0,0,0,0,0,100%
scipy/optimize/_lbfgsb_py.py,134,3,0,52,4,96%
scipy/optimize/_linesearch.py,304,9,0,102,8,96%
scipy/optimize/_linprog.py,96,35,0,34,2,62%
scipy/optimize/_linprog_doc.py,13,6,0,0,0,54%
scipy/optimize/_linprog_highs.py,64,0,0,10,0,100%
scipy/optimize/_linprog_ip.py,252,20,0,72,9,91%
scipy/optimize/_linprog_rs.py,194,12,0,48,6,93%
