File,No of assertions
C:\Users\sindh\College\scipy\test_hausdorff.py,11
C:\Users\sindh\College\scipy\test_kdtree.py,169
C:\Users\sindh\College\scipy\test_qhull.py,104
C:\Users\sindh\College\scipy\test_slerp.py,9
C:\Users\sindh\College\scipy\test_spherical_voronoi.py,26
C:\Users\sindh\College\scipy\test__plotutils.py,4
C:\Users\sindh\College\scipy\test__procrustes.py,13
C:\Users\sindh\College\scipy\test_rotation.py,168
C:\Users\sindh\College\scipy\test_rotation_groups.py,2
C:\Users\sindh\College\scipy\test_rotation_spline.py,20
C:\Users\sindh\College\scipy\test_basic.py,810
C:\Users\sindh\College\scipy\test_bdtr.py,12
C:\Users\sindh\College\scipy\test_boxcox.py,17
C:\Users\sindh\College\scipy\test_cdflib.py,4
C:\Users\sindh\College\scipy\test_cdft_asymptotic.py,6
C:\Users\sindh\College\scipy\test_cosine_distr.py,2
C:\Users\sindh\College\scipy\test_cython_special.py,1
C:\Users\sindh\College\scipy\test_data.py,0
C:\Users\sindh\College\scipy\test_digamma.py,2
C:\Users\sindh\College\scipy\test_ellip_harm.py,11
C:\Users\sindh\College\scipy\test_erfinv.py,5
C:\Users\sindh\College\scipy\test_exponential_integrals.py,7
C:\Users\sindh\College\scipy\test_faddeeva.py,2
C:\Users\sindh\College\scipy\test_gamma.py,0
C:\Users\sindh\College\scipy\test_gammainc.py,6
C:\Users\sindh\College\scipy\test_hyp2f1.py,10
C:\Users\sindh\College\scipy\test_hypergeometric.py,6
C:\Users\sindh\College\scipy\test_kolmogorov.py,7
C:\Users\sindh\College\scipy\test_lambertw.py,12
C:\Users\sindh\College\scipy\test_loggamma.py,4
C:\Users\sindh\College\scipy\test_logit.py,13
C:\Users\sindh\College\scipy\test_logsumexp.py,42
C:\Users\sindh\College\scipy\test_log_softmax.py,8
C:\Users\sindh\College\scipy\test_mpmath.py,167
C:\Users\sindh\College\scipy\test_nan_inputs.py,2
C:\Users\sindh\College\scipy\test_ndtr.py,3
C:\Users\sindh\College\scipy\test_ndtri_exp.py,4
C:\Users\sindh\College\scipy\test_orthogonal.py,168
C:\Users\sindh\College\scipy\test_orthogonal_eval.py,4
C:\Users\sindh\College\scipy\test_owens_t.py,16
C:\Users\sindh\College\scipy\test_pcf.py,2
C:\Users\sindh\College\scipy\test_pdtr.py,8
C:\Users\sindh\College\scipy\test_precompute_expn_asy.py,1
C:\Users\sindh\College\scipy\test_precompute_gammainc.py,3
C:\Users\sindh\College\scipy\test_precompute_utils.py,0
C:\Users\sindh\College\scipy\test_round.py,0
C:\Users\sindh\College\scipy\test_sf_error.py,15
C:\Users\sindh\College\scipy\test_sici.py,0
C:\Users\sindh\College\scipy\test_spence.py,0
C:\Users\sindh\College\scipy\test_spfun_stats.py,5
C:\Users\sindh\College\scipy\test_spherical_bessel.py,44
C:\Users\sindh\College\scipy\test_sph_harm.py,1
C:\Users\sindh\College\scipy\test_trig.py,6
C:\Users\sindh\College\scipy\test_wrightomega.py,13
C:\Users\sindh\College\scipy\test_wright_bessel.py,5
C:\Users\sindh\College\scipy\test_zeta.py,7
C:\Users\sindh\College\scipy\test_axis_nan_policy.py,15
C:\Users\sindh\College\scipy\test_binned_statistic.py,97
C:\Users\sindh\College\scipy\test_bootstrap.py,24
C:\Users\sindh\College\scipy\test_contingency.py,38
C:\Users\sindh\College\scipy\test_continuous_basic.py,69
C:\Users\sindh\College\scipy\test_crosstab.py,18
C:\Users\sindh\College\scipy\test_discrete_basic.py,16
C:\Users\sindh\College\scipy\test_discrete_distns.py,54
C:\Users\sindh\College\scipy\test_distributions.py,1023
